LNR;RESPONSE
1754;0.635436075
1770;0.521297632
1465;0.40775554
1470;0.288012958
1478;0.190135955
1782;0.578543343
1485;0.612216325
1519;0.506228305
1835;0.573554182
1522;0.353429806
1539;0.489838375
1853;0.34367097
1856;0.601345085
2502;0.500624603
2182;0.427647336
2191;0.554342649
2522;0.53536992
2530;0.301021688
2215;0.517878888
2550;0.651909459
2570;0.731849255
2574;0.586275138
2579;0.575014733
2247;0.733973076
2674;0.308720628
11434;0.532387639
11122;0.465137513
11127;0.623679904
11443;0.69180074
11170;0.457716557
11191;0.367004814
11198;0.645567948
10936;0.47143631
11244;0.634488297
11247;0.231097746
11252;0.624734268
11259;0.460012332
10945;0.248068108
10951;0.657887231
11271;0.792889343
10963;0.493542362
11282;0.551261258
11291;0.431887082
10980;0.48978241
10994;0.286359592
10998;0.457716557
11303;0.327225361
11630;0.358139808
11636;0.642062577
11949;0.469559302
11950;0.321272404
11956;0.527359757
11648;0.457716557
11653;0.510825452
11967;0.49103325
11972;0.412822826
11975;0.486080646
12110;0.668607037
12113;0.492864708
11712;0.561838797
11716;0.473740782
12000;0.458338345
11722;0.281056251
12023;0.457716557
12046;0.468152719
11762;0.460012332
12071;0.536845902
12077;0.643261455
11785;0.695393674
11788;0.603218279
11790;0.147439688
11800;0.597324441
11806;0.440480405
11816;0.149093311
11505;0.443498788
11837;0.248448626
11531;0.378307341
11848;0.386246946
11854;0.42970875
11877;0.467511253
11563;0.413021209
11567;0.602388626
11894;0.100821486
11906;0.55446566
11917;0.457716557
11610;0.457716557
11923;0.528038257
12596;0.230877761
12603;0.447098477
12608;0.4443906
12633;0.415680242
12637;0.30248268
21484;0.460012332
21184;0.396451247
21247;0.301428908
20991;0.383492547
21018;0.602247058
21019;0.474314016
21047;0.510043314
21054;0.39459351
21374;0.539020142
21392;0.547753309
21713;0.40511689
22019;0.461376153
22025;0.566724328
21722;0.408580687
21728;0.520941037
22039;0.457716557
22044;0.618742896
61900;0.50203774
62548;0.506021183
63176;0.514387323
64473;0.63456133
64779;0.518901451
64780;0.264364879
64784;0.274236459
65105;0.457716557
65431;0.339076503
65433;0.405121303
66055;0.396498914
66071;0.457716557
61280;0.561879914
61281;0.467028812
61284;0.431408456
61597;0.437540755
61606;0.676831013
62235;0.613096993
62240;0.528028931
62241;0.148206427
62555;0.646730008
62557;0.570519318
62565;0.469023016
62566;0.562994501
63515;0.23770271
63524;0.501505428
64797;0.501088185
65116;0.473740782
75249;0.490154731
75253;0.572435907
75575;0.469133054
76212;0.444817563
71422;0.498006641
72059;0.408081087
72060;0.482487872
72383;0.508355986
72386;0.450803263
72700;0.684605173
72715;0.100672255
73028;0.257827641
73346;0.645514908
73658;0.366176884
73662;0.588983644
73666;0.66401813
73668;0.547187493
73985;0.469466718
74299;0.261836138
74310;0.64724335
74312;0.670197665
74619;0.699871809
74620;0.414509384
74627;0.330183495
74938;0.4981181
74952;0.568995671
75911;0.641933239
75913;0.398245209
76221;0.538643469
76227;0.5575878
71448;0.260050477
15887;0.258789063
15498;0.487095468
15504;0.379061372
15507;0.457813173
15521;0.692145986
24403;0.557514666
24100;0.328220078
24436;0.618383887
24440;0.485406191
24442;0.47143631
24148;0.549939061
24149;0.467107293
24155;0.623345732
24458;0.656964077
24169;0.465346089
24477;0.635586963
24479;0.477819629
24486;0.667826878
24190;0.421157236
24515;0.275170723
24214;0.363846995
25183;0.457716557
25207;0.404599355
24889;0.549176644
24890;0.577164032
25226;0.618681528
25232;0.495794512
25244;0.510955092
25339;0.620698401
25355;0.539916892
24958;0.250170593
25277;0.571952531
25286;0.617584038
24988;0.457716557
25298;0.483641778
25309;0.643433856
25315;0.572798269
25014;0.469133054
25322;0.231048131
25333;0.447921847
25025;0.611832555
24726;0.707875225
24735;0.460012332
25055;0.670733933
25056;0.332655051
24746;0.414188574
25061;0.536692573
25067;0.419803659
25074;0.2950791
24773;0.754808221
25080;0.460012332
25086;0.680916746
25088;0.481000338
24777;0.673182604
24796;0.464122724
25104;0.440929057
24806;0.255209776
25118;0.254750719
24822;0.469133054
82811;0.566954572
83449;0.537183589
83459;0.460012332
83770;0.457716557
84091;0.476016072
84096;0.742325232
84737;0.419251595
85048;0.462309804
85049;0.746409387
85051;0.743026829
85369;0.372930647
85374;0.644068768
85380;0.427634072
82190;0.480745496
82505;0.567052067
82515;0.604443539
82517;0.442763956
82821;0.588100976
83140;0.652754731
788;0.180742126
1102;0.567522456
1109;0.449071176
821;0.587520488
829;0.386967712
837;0.457473559
845;0.580696553
1163;0.513687605
861;0.460012332
899;0.502443335
1207;0.629416797
906;0.608972181
1221;0.646668279
1545;0.375373834
1546;0.675330301
1555;0.592795498
1556;0.371338365
1879;0.322420273
1885;0.672032774
1593;0.312052933
1902;0.548419089
1611;0.7500691
1921;0.398942962
1927;0.410828424
1651;0.505204277
1978;0.626696225
1718;0.455920766
1722;0.353557618
1734;0.100912859
41705;0.703183786
41711;0.457716557
41712;0.221687457
42029;0.369134009
42347;0.488990954
42352;0.267930398
42353;0.360227097
42671;0.151666601
42987;0.379186089
43310;0.178215257
43627;0.749925155
43629;0.711217479
43945;0.664503144
43953;0.353096608
43954;0.575114834
43961;0.323146039
44280;0.273583455
44917;0.48076461
44924;0.39103755
44927;0.692493058
45244;0.631651687
45570;0.183128718
45584;0.520503274
41721;0.627095541
41739;0.457716557
42054;0.336595982
42369;0.388399844
42689;0.387182527
43019;0.522506791
